rule_id,band_index,band_low_hz,band_high_hz,normalized_weight,gain_db_default,gain_db_max,action_family,target_direction,group_value,f0_condition
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.1050,0.1470,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.2400,0.3360,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.3000,0.4200,brightness_up,feminine,slow_forte,high_band
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.1650,0.2310,brightness_up,feminine,slow_forte,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.1050,0.1470,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.2400,0.3360,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.3000,0.4200,brightness_up,feminine,straight,high_band
stage0_singing_straight_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.1650,0.2310,brightness_up,feminine,straight,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,2,300,800,0.0000,0.0000,0.0000,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,3,800,1500,0.3500,0.1050,0.1470,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,4,1500,3000,0.8000,0.2400,0.3360,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,5,3000,5000,1.0000,0.3000,0.4200,brightness_up,feminine,vibrato,high_band
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,6,5000,8000,0.5500,0.1650,0.2310,brightness_up,feminine,vibrato,high_band
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,1,0,300,0.0000,0.0000,0.0000,brightness_up,feminine,fast_forte,high_band
